 Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
144	Leah Klenke	us USA	DF	Houston Dash	21-294	2004	4	4	360	4.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
145	Melissa Kössler	de GER	FW	Denver Summit	26-038	2000	5	5	424	4.7	3	0	3	3	0	0	0	0	0.64	0.00	0.64	0.64	0.64	Matches
146	Rosemonde Kouassi	ci CIV	MF	Washington Spirit	24-106	2001	5	4	360	4.0	0	2	2	0	0	0	0	0	0.00	0.50	0.50	0.00	0.50	Matches
147	Shinomi Koyama	jp JPN	FW,MF	NC Courage	21-070	2005	4	4	349	3.9	0	1	1	0	0	0	0	0	0.00	0.26	0.26	0.00	0.26	Matches
148	Racheal Kundananji	zm ZAM	MF	Bay FC	25-312	2000	1	1	90	1.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
149	Kaleigh Kurtz	us USA	DF	Denver Summit	28-214	1997	5	5	450	5.0	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
150	Lo'eau LaBonta	us USA	MF	Current	33-024	1993	4	3	230	2.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
151	Cloé Lacasse	ca CAN	MF,FW	Royals	32-278	1993	5	5	378	4.2	0	2	2	0	0	0	1	0	0.00	0.48	0.48	0.00	0.48	Matches
152	Carina Lageyre	us USA	MF	Angel City FC	22-161	2003	2	0	7	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
